Car_Name,Year,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Selling_Price
ritz,2014,5.59,27000,Petrol,Dealer,Manual,0,3.35
sx4,2013,9.54,43000,Diesel,Dealer,Manual,0,4.75
ciaz,2017,9.85,6900,Petrol,Dealer,Manual,0,7.25
wagon r,2011,4.15,5200,Petrol,Dealer,Manual,0,2.85
swift,2014,6.87,42450,Diesel,Dealer,Manual,0,4.6
vitara brezza,2018,9.83,2071,Diesel,Dealer,Manual,0,9.25
ciaz,2015,8.12,18796,Petrol,Dealer,Manual,0,6.75
s cross,2015,8.61,33429,Diesel,Dealer,Manual,0,6.5
ciaz,2016,8.89,20273,Diesel,Dealer,Manual,0,8.75
ciaz,2015,8.92,42367,Diesel,Dealer,Manual,0,7.45
alto 800,2017,3.6,2135,Petrol,Dealer,Manual,0,2.85
ciaz,2015,10.38,51000,Diesel,Dealer,Manual,0,6.85
ciaz,2015,9.94,15000,Petrol,Dealer,Automatic,0,7.5
ertiga,2015,7.71,26000,Petrol,Dealer,Manual,0,6.1
,,,,,,,,
Car_Name,Year,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Selling_Price
Car_Name,,,,,,,,
Car_Name,,,,,,,,
Car_Name,,,,,,,,
Car_Name,,,,,,,,
,,,,,,,,
,,,,,,,,
Car_Name,Car_Name,Car_Name,Car_Name,Car_Name,Car_Name,Car_Name,Car_Name,Car_Name
ritz,,,,,,,,
sx4,,,,,,,,
ciaz,,,,,,,,
wagon r,,,,,,,,
swift,,,,,,,,
vitara brezza,,,,,,,,
